row_type,surlab_file_location,surlab_filename,fieldname_surlab,units,requirement_level,requirement_condition,nwb_location,nwb_fieldname,nwb_alt_fieldnames,nwb_keyword,nwb_type,mapping_rationale,stage,notes
metadata_field,dataset_dir,(nwb_alt_fieldnames_rules),N/A,na,na,always,NWBFile,N/A,,,N/A,Reverse-only: semicolon-separated field/column names on primary nwb_location. Forward ignores. Primary wins; warn if primary and alias both non-empty and differ. Rare /location|field escape for different container. Ecosystem-specific paths: reverse_mapping/*.csv.,1,"Load order: primary+linkage, then nwb_alt_fieldnames, then reverse_mapping/<ecosystem>.csv only when user specifies ecosystem (e.g. allen, ibl)."
metadata_field,dataset_dir,sessionInfo_<datasetID>.csv,(per_stream_scalar_metadata),na,na,always,NWBFile,N/A,,,N/A,Per-stream scalar columns use {datatypeID}_{field} in sessionInfo (e.g. GCaMP7f_traces_indicator). Table rows use <datatypeID>_field template in fieldname_surlab.,1,Fixed-ID streams use literal prefix (spikeTimes_probe). See stage 3/4 sessionInfo rows and stage 6 lfp/spikeWaves rows.
metadata_field,dataset_dir,sessionInfo_<datasetID>.csv,spikeTimes_acquisition_software,plain text,recommended,if_datatype_present:spikeTimes,NWBFile/devices,Device.description,,,str,Canonical sessionInfo column. Stream-scoped NWB linkage. Acquisition software (often spikeGLX) stored in Device.description.,1,Legacy optional mirror: spikeTimes_schema.json key acquisition_software. Fail if both non-empty and disagree.
metadata_field,dataset_dir,sessionInfo_<datasetID>.csv,spikeTimes_data_unit_measurement,base__unit token string,recommended,if_datatype_present:spikeTimes,NWBFile/units,custom_column_data_unit_measurement,data_unit_measurement,,str,Canonical sessionInfo column. Stream-scoped NWB linkage. Optional DynamicTable column on Units for display; or fold into unit description.,1,Legacy optional mirror: spikeTimes_schema.json key data_unit_measurement. Fail if both non-empty and disagree.
metadata_field,dataset_dir,sessionInfo_<datasetID>.csv,spikeTimes_filter_cutoff_high__Hz,float Hz,recommended,if_datatype_present:spikeTimes,NWBFile/processing,custom_field,,,float,Canonical sessionInfo column. Stream-scoped NWB linkage. Pair with low cutoff.,1,Legacy optional mirror: spikeTimes_schema.json key filter_cutoff_high__Hz. Fail if both non-empty and disagree.
metadata_field,dataset_dir,sessionInfo_<datasetID>.csv,spikeTimes_filter_cutoff_low__Hz,float Hz,recommended,if_datatype_present:spikeTimes,NWBFile/processing,custom_field,,,float,Canonical sessionInfo column. Stream-scoped NWB linkage. Pair with high cutoff.,1,Legacy optional mirror: spikeTimes_schema.json key filter_cutoff_low__Hz. Fail if both non-empty and disagree.
metadata_field,dataset_dir,sessionInfo_<datasetID>.csv,spikeTimes_filter_type,plain text,recommended,if_datatype_present:spikeTimes,NWBFile/processing,custom_field,,,str,Canonical sessionInfo column. Stream-scoped NWB linkage. No single core filter object; use notes or ecephys extension if used.,1,Legacy optional mirror: spikeTimes_schema.json key filter_type. Fail if both non-empty and disagree.
metadata_field,dataset_dir,sessionInfo_<datasetID>.csv,spikeTimes_probe,plain text,required,if_datatype_present:spikeTimes,NWBFile/devices,Device.name,,,str,Canonical sessionInfo column. Stream-scoped NWB linkage. Probe identity is Device.name; link Units to device when geometry added later.,1,Legacy optional mirror: spikeTimes_schema.json key probe. Fail if both non-empty and disagree.
metadata_field,dataset_dir,sessionInfo_<datasetID>.csv,spikeTimes_quality_metric,plain text,optional,if_datatype_present:spikeTimes,NWBFile/units,custom_column_quality_metric_description,quality_metric,,str,Canonical sessionInfo column. Stream-scoped NWB linkage. Documents meaning of per-unit quality column.,1,Legacy optional mirror: spikeTimes_schema.json key quality_metric. Fail if both non-empty and disagree.
metadata_field,dataset_dir,sessionInfo_<datasetID>.csv,spikeTimes_sample_frequency__Hz,float Hz,recommended,if_datatype_present:spikeTimes,NWBFile/units,custom_column_sampling_rate__Hz,sampling_rate,,float,Canonical sessionInfo column. Stream-scoped NWB linkage. Supports alignment with raw ecephys; not same as spike time axis.,1,Legacy optional mirror: spikeTimes_schema.json key sample_frequency__Hz. Fail if both non-empty and disagree.
metadata_field,dataset_dir,sessionInfo_<datasetID>.csv,spikeTimes_sorting_software,plain text,recommended,if_datatype_present:spikeTimes,NWBFile/processing,processing_module_description,,,str,Canonical sessionInfo column. Stream-scoped NWB linkage. Kilosort precedent: name sorting module and software in processing description or module.,1,Legacy optional mirror: spikeTimes_schema.json key sorting_software. Fail if both non-empty and disagree.
metadata_field,dataset_dir,sessionInfo_<datasetID>.csv,lfp_probe,plain text,recommended,if_datatype_present:lfp,NWBFile/devices,Device.name,,,str,Canonical sessionInfo column. Stream-scoped NWB linkage. LFP probe identity; Device linked to LFP electrodes for this stream. Same physical probe as spikeTimes may repeat value in lfp_probe.,6,Legacy optional mirror: lfp_schema.json key probe. Fail if both non-empty and disagree.
metadata_field,dataset_dir,sessionInfo_<datasetID>.csv,lfp_filter_type,plain text,recommended,if_datatype_present:lfp,NWBFile/processing,custom_field,,,str,Canonical sessionInfo column. Stream-scoped NWB linkage. Filter type for LFP stream; processing custom field linked to LFP.,6,Legacy optional mirror: lfp_schema.json key filter_type. Fail if both non-empty and disagree.
metadata_field,dataset_dir,sessionInfo_<datasetID>.csv,lfp_filter_cutoff_low__Hz,float Hz,recommended,if_datatype_present:lfp,NWBFile/processing,custom_field,,,float,Canonical sessionInfo column. Stream-scoped NWB linkage. Low cutoff paired with filter_cutoff_high__Hz.,6,Legacy optional mirror: lfp_schema.json key filter_cutoff_low__Hz. Fail if both non-empty and disagree.
metadata_field,dataset_dir,sessionInfo_<datasetID>.csv,lfp_filter_cutoff_high__Hz,float Hz,recommended,if_datatype_present:lfp,NWBFile/processing,custom_field,,,float,Canonical sessionInfo column. Stream-scoped NWB linkage. High cutoff paired with filter_cutoff_low__Hz.,6,Legacy optional mirror: lfp_schema.json key filter_cutoff_high__Hz. Fail if both non-empty and disagree.
metadata_field,dataset_dir,sessionInfo_<datasetID>.csv,lfp_data_unit_measurement,base__unit token string,recommended,if_datatype_present:lfp,NWBFile/acquisition,unit,,,str,Canonical sessionInfo column. Stream-scoped NWB linkage. Unit tag for stored LFP values.,6,Legacy optional mirror: lfp_schema.json key data_unit_measurement. Fail if both non-empty and disagree.
metadata_field,dataset_dir,sessionInfo_<datasetID>.csv,lfp_sample_frequency__Hz,float Hz,recommended,if_datatype_present:lfp,NWBFile/acquisition,rate,,,float,Canonical sessionInfo column. Stream-scoped NWB linkage. LFP sampling rate.,6,Legacy optional mirror: lfp_schema.json key sample_frequency__Hz. Fail if both non-empty and disagree.
metadata_field,dataset_dir,sessionInfo_<datasetID>.csv,spikeWaves_probe,plain text,recommended,if_datatype_present:spikeWaves,NWBFile/devices,Device.name,,,str,Canonical sessionInfo column. Stream-scoped NWB linkage. Probe for spike waveforms; Device linked to waveform source.,6,Legacy optional mirror: spikeWaves_schema.json key probe. Fail if both non-empty and disagree.
metadata_field,dataset_dir,sessionInfo_<datasetID>.csv,spikeWaves_clustering_algorithm,plain text,recommended,if_datatype_present:spikeWaves,NWBFile/processing,custom_field,,,str,Canonical sessionInfo column. Stream-scoped NWB linkage. Clustering algorithm for waveforms.,6,Legacy optional mirror: spikeWaves_schema.json key clustering_algorithm. Fail if both non-empty and disagree.
metadata_field,dataset_dir,sessionInfo_<datasetID>.csv,spikeWaves_sample_frequency__Hz,float Hz,recommended,if_datatype_present:spikeWaves,NWBFile/units,custom_column_sampling_rate__Hz,,,float,Canonical sessionInfo column. Stream-scoped NWB linkage. Waveform snippet sampling rate.,6,Legacy optional mirror: spikeWaves_schema.json key sample_frequency__Hz. Fail if both non-empty and disagree.
metadata_field,dataset_dir,sessionInfo_<datasetID>.csv,spikeWaves_data_unit_measurement,base__unit token string,recommended,if_datatype_present:spikeWaves,NWBFile/units,custom_column_data_unit_measurement,,,str,Canonical sessionInfo column. Stream-scoped NWB linkage. Unit tag for waveform amplitudes.,6,Legacy optional mirror: spikeWaves_schema.json key data_unit_measurement. Fail if both non-empty and disagree.
metadata_field,dataset_dir,sessionInfo_<datasetID>.csv,<datatypeID>_data_unit_measurement,base__unit token string,recommended,if_datatype_present:<datatypeID>,NWBFile/ophys/RoiResponseSeries,unit,,,str,Canonical sessionInfo column. Stream-scoped NWB linkage. Fluorescence often arbitrary or deltaF/F; document in schema.,1,Legacy optional mirror: <datatypeID>_schema.json key data_unit_measurement. Fail if both non-empty and disagree.
metadata_field,dataset_dir,sessionInfo_<datasetID>.csv,<datatypeID>_data_unit_measurement,base__unit token string,recommended,if_datatype_present:<datatypeID>,NWBFile/acquisition,unit,,,str,Canonical sessionInfo column. Stream-scoped NWB linkage. Document units per feature in metadata labels where needed.,1,Legacy optional mirror: <datatypeID>_schema.json key data_unit_measurement. Fail if both non-empty and disagree.
metadata_field,dataset_dir,sessionInfo_<datasetID>.csv,<datatypeID>_detection_software,plain text,recommended,if_datatype_present:<datatypeID>,NWBFile/ophys/ImagingPlane,custom_field,,,str,Canonical sessionInfo column. Stream-scoped NWB linkage. e.g. Suite2p; SPECULATIVE ImagingPlane metadata.,1,Legacy optional mirror: <datatypeID>_schema.json key detection_software. Fail if both non-empty and disagree.
metadata_field,dataset_dir,sessionInfo_<datasetID>.csv,<datatypeID>_fov_depth__um,float micrometers,optional,if_datatype_present:<datatypeID>,NWBFile/ophys/ImagingPlane,custom_field,,,float,Canonical sessionInfo column. Stream-scoped NWB linkage. Imaging depth at FOV.,1,Legacy optional mirror: <datatypeID>_schema.json key fov_depth__um. Fail if both non-empty and disagree.
metadata_field,dataset_dir,sessionInfo_<datasetID>.csv,<datatypeID>_fov_height__pixels,integer pixels,optional,if_datatype_present:<datatypeID>,NWBFile/ophys/ImagingPlane,custom_field,,,int,Canonical sessionInfo column. Stream-scoped NWB linkage. Field of view height.,1,Legacy optional mirror: <datatypeID>_schema.json key fov_height__pixels. Fail if both non-empty and disagree.
metadata_field,dataset_dir,sessionInfo_<datasetID>.csv,<datatypeID>_fov_width__pixels,integer pixels,optional,if_datatype_present:<datatypeID>,NWBFile/ophys/ImagingPlane,custom_field,,,int,Canonical sessionInfo column. Stream-scoped NWB linkage. Field of view width.,1,Legacy optional mirror: <datatypeID>_schema.json key fov_width__pixels. Fail if both non-empty and disagree.
metadata_field,dataset_dir,sessionInfo_<datasetID>.csv,<datatypeID>_indicator,plain text,recommended,if_datatype_present:<datatypeID>,NWBFile/ophys/OpticalChannel,custom_field,,,str,Canonical sessionInfo column. Stream-scoped NWB linkage. Calcium indicator name.,1,Legacy optional mirror: <datatypeID>_schema.json key indicator. Fail if both non-empty and disagree.
metadata_field,dataset_dir,sessionInfo_<datasetID>.csv,<datatypeID>_laser_name,plain text,optional,if_datatype_present:<datatypeID>,NWBFile/ophys/ImagingPlane,custom_field,,,str,Canonical sessionInfo column. Stream-scoped NWB linkage. Laser identifier.,1,Legacy optional mirror: <datatypeID>_schema.json key laser_name. Fail if both non-empty and disagree.
metadata_field,dataset_dir,sessionInfo_<datasetID>.csv,<datatypeID>_objectives,plain text,optional,if_datatype_present:<datatypeID>,NWBFile/ophys/ImagingPlane,custom_field,,,str,Canonical sessionInfo column. Stream-scoped NWB linkage. Microscope objective description.,1,Legacy optional mirror: <datatypeID>_schema.json key objectives. Fail if both non-empty and disagree.
metadata_field,dataset_dir,sessionInfo_<datasetID>.csv,<datatypeID>_pixel_size__um,float micrometers (use pixel_size__au if uncalibrated / arbitrary),optional,if_datatype_present:<datatypeID>,NWBFile/ophys/ImagingPlane,custom_field,,,float,Canonical sessionInfo column. Stream-scoped NWB linkage. Prefer numeric with optional pixel_size_calibration column. Header must include unit suffix (__um or __au).,1,Legacy optional mirror: <datatypeID>_schema.json key pixel_size. Fail if both non-empty and disagree. Canonical name pixel_size__um; use sibling column pixel_size__au instead when units unknown/arbitrary (mutually exclusive).
metadata_field,dataset_dir,sessionInfo_<datasetID>.csv,<datatypeID>_pixel_size__au,float arbitrary units (use when pixel size not calibrated to um),optional,if_datatype_present:<datatypeID>,NWBFile/ophys/ImagingPlane,custom_field,,,float,Alternate to pixel_size__um when scale is unknown/arbitrary. Mutually exclusive with pixel_size__um for the same stream. Same NWB ImagingPlane custom_field.,1,Do not populate both pixel_size__um and pixel_size__au for one stream. Legacy optional mirror: <datatypeID>_schema.json key pixel_size__au. Fail if both non-empty and disagree.
metadata_field,dataset_dir,sessionInfo_<datasetID>.csv,<datatypeID>_pixel_size_calibration,calibration note for pixel_size__um or pixel_size__au,optional,if_datatype_present:<datatypeID>,NWBFile/ophys/ImagingPlane,custom_field,,,str,Canonical sessionInfo column. Stream-scoped NWB linkage. Optional user-supplied scale.,1,Legacy optional mirror: <datatypeID>_schema.json key pixel_size_calibration. Fail if both non-empty and disagree. Applies to whichever of pixel_size__um / pixel_size__au is used.
metadata_field,dataset_dir,sessionInfo_<datasetID>.csv,<datatypeID>_sample_frequency__Hz,float Hz,recommended,if_datatype_present:<datatypeID>,NWBFile/ophys/ImagingPlane,custom_field,,,float,Canonical sessionInfo column. Stream-scoped NWB linkage. SPECULATIVE: link to ImagingPlane rate when imaging metadata added.,1,Legacy optional mirror: <datatypeID>_schema.json key sample_frequency__Hz. Fail if both non-empty and disagree.
metadata_field,dataset_dir,sessionInfo_<datasetID>.csv,<datatypeID>_sample_frequency__Hz,float Hz,recommended,if_datatype_present:<datatypeID>,NWBFile/acquisition,rate,,,float,Canonical sessionInfo column. Stream-scoped NWB linkage. Sampling rate of behavioral stream.,1,Legacy optional mirror: <datatypeID>_schema.json key sample_frequency__Hz. Fail if both non-empty and disagree.
metadata_field,dataset_dir,sessionInfo_<datasetID>.csv,<datatypeID>_wavelength__nm,float nanometers,recommended,if_datatype_present:<datatypeID>,NWBFile/ophys/OpticalChannel,emission_lambda,,,float,Canonical sessionInfo column. Stream-scoped NWB linkage. SPECULATIVE OpticalChannel mapping.,1,Legacy optional mirror: <datatypeID>_schema.json key wavelength__nm. Fail if both non-empty and disagree.
metadata_field,dataset_dir,sessionInfo_<datasetID>.csv,dataset_specific,N/A,optional,always,NWBFile,experiment_description,,,str,Append each extra sessionInfo column as key=value text in experiment_description (interim). LabMetaData when nwb_path enabled.,1,Legacy optional mirror: dataset_schema.json key specific. Fail if both non-empty and disagree.
metadata_field,session_dir,sessionInfo_single_session.csv,(all columns above),same as dataset row,na,always,NWBFile,same_as_dataset_dir_mapping,,,same,Session-local copy of sessionInfo; identical mapping after row selection for that session.,1,One session one row; join key animal_ID session_ID.
metadata_field,dataset_dir,experimentDesc.pdf,N/A,file not tabular,optional,always,NWBFile,session_description,,,str,PDF stays external as separate asset; copy abstract into session_description.,1,Optional; DANDI stores PDFs as separate assets.
data_array,session_dir,spikeTimes_data.{mat|npz},NA,spike times per unit in seconds relative to the session origin (t=0),required,if_datatype_present:spikeTimes,NWBFile/units,spike_times,,,array_of_float64,Kilosort-style: one unit per row; spike_times in seconds aligned to NWB session clock.,2,Verbose alias: spikeTimes_data_<datasetID>_<animal_ID>_<session_ID>.{mat|npz}. Same variable layout as SurLab spec.
metadata_field,session_dir,spikeTimes_schema.json,data_unit_measurement,base__unit token string,recommended,if_datatype_present:spikeTimes,NWBFile/units,custom_column_data_unit_measurement,data_unit_measurement,,str,Optional DynamicTable column on Units for display; or fold into unit description. Optional legacy mirror; canonical column in sessionInfo.,2,Legacy optional mirror of sessionInfo spikeTimes_data_unit_measurement. Fail if both non-empty and disagree. Prefer sessionInfo duplicate when schema deprecated.
metadata_field,session_dir,spikeTimes_schema.json,X_dim,dimension label,recommended,if_datatype_present:spikeTimes,NWBFile/units,custom_field,,,str,Document layout; often neurons or time not stored on NWB Units.,2,
metadata_field,session_dir,spikeTimes_schema.json,Y_dim,dimension label,optional,if_datatype_present:spikeTimes,NWBFile/units,custom_field,,,str,Same as X_dim.,2,
metadata_field,session_dir,spikeTimes_schema.json,X_size,integer count,recommended,if_datatype_present:spikeTimes,NWBFile/units,custom_column_num_units,,,int,Should match number of units and metadata rows.,2,
metadata_field,session_dir,spikeTimes_schema.json,Y_size,integer count,optional,if_datatype_present:spikeTimes,NWBFile/units,custom_field,,,int,If used in schema.,2,
metadata_field,session_dir,spikeTimes_schema.json,X_idx,optional layout indices (usually omitted for spikeTimes),optional,if_datatype_present:spikeTimes,NWBFile/units,custom_field,,,array_of_int_or_str,Omitted for spikeTimes per SurLab (times in arrays).,2,
metadata_field,session_dir,spikeTimes_schema.json,Y_idx,optional layout indices (usually omitted for spikeTimes),optional,if_datatype_present:spikeTimes,NWBFile/units,custom_field,,,array_of_int_or_str,If present.,2,
metadata_field,session_dir,spikeTimes_schema.json,sample_frequency__Hz,float Hz,recommended,if_datatype_present:spikeTimes,NWBFile/units,custom_column_sampling_rate__Hz,sampling_rate,,float,Supports alignment with raw ecephys; not same as spike time axis. Optional legacy mirror; canonical column in sessionInfo.,2,Legacy optional mirror of sessionInfo spikeTimes_sample_frequency__Hz. Fail if both non-empty and disagree.
metadata_field,session_dir,spikeTimes_schema.json,probe,plain text,optional,if_datatype_present:spikeTimes,NWBFile/devices,Device.name,,,str,Probe identity is Device.name; link Units to device when geometry added later. Optional legacy mirror; canonical column in sessionInfo.,2,Legacy optional mirror of sessionInfo spikeTimes_probe. Fail if both non-empty and disagree.
metadata_field,session_dir,spikeTimes_schema.json,acquisition_software,plain text,recommended,if_datatype_present:spikeTimes,NWBFile/devices,Device.description,,,str,Acquisition software (often spikeGLX) stored in Device.description. Optional legacy mirror; canonical column in sessionInfo.,2,Legacy optional mirror of sessionInfo spikeTimes_acquisition_software. Fail if both non-empty and disagree.
metadata_field,session_dir,spikeTimes_schema.json,sorting_software,plain text,recommended,if_datatype_present:spikeTimes,NWBFile/processing,processing_module_description,,,str,Kilosort precedent: name sorting module and software in processing description or module. Optional legacy mirror; canonical column in sessionInfo.,2,Legacy optional mirror of sessionInfo spikeTimes_sorting_software. Fail if both non-empty and disagree.
metadata_field,session_dir,spikeTimes_schema.json,filter_type,plain text,recommended,if_datatype_present:spikeTimes,NWBFile/processing,custom_field,,,str,No single core filter object; use notes or ecephys extension if used. Optional legacy mirror; canonical column in sessionInfo.,2,Legacy optional mirror of sessionInfo spikeTimes_filter_type. Fail if both non-empty and disagree.
metadata_field,session_dir,spikeTimes_schema.json,filter_cutoff_low__Hz,float Hz,recommended,if_datatype_present:spikeTimes,NWBFile/processing,custom_field,,,float,Pair with high cutoff. Optional legacy mirror; canonical column in sessionInfo.,2,Legacy optional mirror of sessionInfo spikeTimes_filter_cutoff_low__Hz. Fail if both non-empty and disagree.
metadata_field,session_dir,spikeTimes_schema.json,filter_cutoff_high__Hz,float Hz,recommended,if_datatype_present:spikeTimes,NWBFile/processing,custom_field,,,float,Pair with low cutoff. Optional legacy mirror; canonical column in sessionInfo.,2,Legacy optional mirror of sessionInfo spikeTimes_filter_cutoff_high__Hz. Fail if both non-empty and disagree.
metadata_field,session_dir,spikeTimes_schema.json,quality_metric,plain text,optional,if_datatype_present:spikeTimes,NWBFile/units,custom_column_quality_metric_description,quality_metric,,str,Documents meaning of per-unit quality column. Optional legacy mirror; canonical column in sessionInfo.,2,Legacy optional mirror of sessionInfo spikeTimes_quality_metric. Fail if both non-empty and disagree.
metadata_field,session_dir,spikeTimes_metadata.csv,unit_ID,integer or text id per unit,required,if_datatype_present:spikeTimes,NWBFile/units,id,unit_id,,int_or_str,Units table id column; align rows to spike array order.,2,
metadata_field,session_dir,spikeTimes_metadata.csv,depth__um,float micrometers,recommended,if_datatype_present:spikeTimes,NWBFile/units,custom_column_depth__um,depth,,float,Allen/Kilosort-style depth on Units table.,2,
metadata_field,session_dir,spikeTimes_metadata.csv,area,plain text,recommended,if_datatype_present:spikeTimes,NWBFile/units,custom_column_brain_area,brain_area;location,,str,Per-unit region label.,2,
metadata_field,session_dir,spikeTimes_metadata.csv,spike_sorting_ID,identifier in sorter output,recommended,if_datatype_present:spikeTimes,NWBFile/units,custom_column_spike_sorting_ID,sorting_id;cluster_id,,str,Kilosort cluster id precedent.,2,
metadata_field,session_dir,spikeTimes_metadata.csv,quality,float metric or categorical label (see quality_metric),optional,if_datatype_present:spikeTimes,NWBFile/units,custom_column_quality,quality_label,,float_or_str,Interpretation from quality_metric in schema.,2,Type float_or_str: numeric quality score OR non-empty string label. Meaning documented by quality_metric / spikeTimes_quality_metric.
metadata_field,session_dir,spikeTimes_metadata.csv,grid_location,row col pair,optional,if_datatype_present:spikeTimes,NWBFile/units,custom_column_grid_location,,,str,For grid probes; optional.,2,
metadata_field,session_dir,spikeTimes_metadata.csv,dataset_specific,N/A,optional,if_datatype_present:spikeTimes,NWBFile/units,custom_columns,,,str,Same rule as sessionInfo: preserve names on Units DynamicTable.,2,One generic row for unlisted metadata columns.
metadata_field,session_dir,(no file),timestamps for spikeTimes,N/A,na,if_datatype_present:spikeTimes,NWBFile,N/A,,,N/A,SurLab explicitly does not use a separate timestamps file for spikeTimes; times live in data arrays.,2,Do not require spikeTimes_timestamps; if file appears treat as dataset_specific or legacy.
