row_type,surlab_file_location,surlab_filename,fieldname_surlab,units,requirement_level,requirement_condition,nwb_location,nwb_fieldname,nwb_keyword,nwb_type,mapping_rationale,stage,notes,applies_to_session,discovered,source_path
metadata_field,dataset_dir,sessionInfo_<datasetID>.csv,(common_datatype_prefix_examples),N/A,na,always,NWBFile,N/A,,N/A,Informative prefix patterns only; not validated as a closed list.,1,See documentation Common prefix examples. Pattern prefix_baseID e.g. GCaMP7f_traces pupil_behTSeries. trialInfo has no prefix.,False,informational,
metadata_field,dataset_dir,sessionInfo_<datasetID>.csv,trialInfo,boolean 0/1 trial table present,optional,always,NWBFile,keywords,trials,array_of_str,Keyword trials when 1.,1,At most one trialInfo table per session. See stage 5 rows.,True,found,demo_data\SeqBias_AstroBlock_NPX\sessionsInfo_SeqBias_AstroBlock_NPX_examp.csv
metadata_field,dataset_dir,sessionInfo_<datasetID>.csv,lfp,boolean 0/1 modality present,optional,always,NWBFile,keywords,lfp,array_of_str,Keyword LFP when 1.,1,LFP rows deferred (future stage 6).,True,found,demo_data\SeqBias_AstroBlock_NPX\sessionsInfo_SeqBias_AstroBlock_NPX_examp.csv
metadata_field,dataset_dir,sessionInfo_<datasetID>.csv,spikeTimes,boolean 0/1 modality present,optional,always,NWBFile,keywords,spike_times,array_of_str,Keyword spike or units when 1.,1,When 1 expect spikeTimes files; see stage 2 conditional rows.,True,found,demo_data\SeqBias_AstroBlock_NPX\sessionsInfo_SeqBias_AstroBlock_NPX_examp.csv
metadata_field,dataset_dir,sessionInfo_<datasetID>.csv,spikeWaves,boolean 0/1 modality present,optional,always,NWBFile,keywords,spike_waveforms,array_of_str,Keyword waveform when 1.,1,Defer spike waves per project plan.,True,found,demo_data\SeqBias_AstroBlock_NPX\sessionsInfo_SeqBias_AstroBlock_NPX_examp.csv
metadata_field,dataset_dir,sessionInfo_<datasetID>.csv,behEvents,boolean 0/1 modality present,optional,always,NWBFile,keywords,behavior_events,array_of_str,Keyword behavioral events when 1.,1,Optional prefix on datatype ID (e.g. lick_behEvents) same convention as traces.,True,found,demo_data\SeqBias_AstroBlock_NPX\sessionsInfo_SeqBias_AstroBlock_NPX_examp.csv
metadata_field,dataset_dir,sessionInfo_<datasetID>.csv,(per_stream_behTSeries),boolean 0/1 per stream column,optional,always,NWBFile,keywords,identity,array_of_str,One sessionInfo column per behTSeries stream; header is full datatype ID (e.g. pupil_behTSeries).,1,No aggregate behTSeries column. See Common prefix examples (pupil wheel deeplabcutPupil etc.).,False,informational,
metadata_field,dataset_dir,sessionInfo_<datasetID>.csv,dataset_specific,N/A,optional,always,NWBFile,experiment_description,,str,Append each extra sessionInfo column as key=value text in experiment_description (interim). LabMetaData when nwb_path enabled.,1,Single generic row. Example: laser_power=42 PMT_gain=1.2. Not a SurLab column name.,True,found,demo_data\SeqBias_AstroBlock_NPX\sessionsInfo_SeqBias_AstroBlock_NPX_examp.csv
metadata_field,session_dir,sessionInfo_single_session.csv,(all columns above),same as dataset row,na,always,NWBFile,same_as_dataset_dir_mapping,,same,Session-local copy of sessionInfo; identical mapping after row selection for that session.,1,One session one row; join key animal_ID session_ID.,False,informational,
metadata_field,dataset_dir,experimentDesc.pdf,N/A,file not tabular,optional,always,NWBFile,session_description,,str,PDF stays external as separate asset; copy abstract into session_description.,1,Optional; DANDI stores PDFs as separate assets.,True,not found (recommended),
data_array,session_dir,spikeTimes_data.{mat|npz},NA,spike times per unit in seconds relative to the session origin (t=0),required,if_datatype_present:spikeTimes,NWBFile/units,spike_times,,array_of_float64,Kilosort-style: one unit per row; spike_times in seconds aligned to NWB session clock.,2,Verbose alias: spikeTimes_data_<datasetID>_<animal_ID>_<session_ID>.{mat|npz}. Same variable layout as SurLab spec.,True,found,demo_data\SeqBias_AstroBlock_NPX\AstroDREADD25_20240702\spikeTimes_data_SeqBias_AstroBlock_NPX_examp_AstroDREADD25_20240702.mat
metadata_field,session_dir,spikeTimes_schema.json,data_unit_measurement,base__unit token string,recommended,if_datatype_present:spikeTimes,NWBFile/units,custom_column_data_unit_measurement,,str,Optional DynamicTable column on Units for display; or fold into unit description.,2,Prefer sessionInfo duplicate when schema deprecated.,True,found,demo_data\SeqBias_AstroBlock_NPX\AstroDREADD25_20240702\spikeTimes_schema_SeqBias_AstroBlock_NPX_examp_AstroDREADD25_20240702.json
metadata_field,session_dir,spikeTimes_schema.json,X_dim,dimension label,recommended,if_datatype_present:spikeTimes,NWBFile/units,custom_field,,str,Document layout; often neurons or time not stored on NWB Units.,2,,True,found,demo_data\SeqBias_AstroBlock_NPX\AstroDREADD25_20240702\spikeTimes_schema_SeqBias_AstroBlock_NPX_examp_AstroDREADD25_20240702.json
metadata_field,session_dir,spikeTimes_schema.json,Y_dim,dimension label,optional,if_datatype_present:spikeTimes,NWBFile/units,custom_field,,str,Same as X_dim.,2,,True,found,demo_data\SeqBias_AstroBlock_NPX\AstroDREADD25_20240702\spikeTimes_schema_SeqBias_AstroBlock_NPX_examp_AstroDREADD25_20240702.json
metadata_field,session_dir,spikeTimes_schema.json,X_size,integer count,recommended,if_datatype_present:spikeTimes,NWBFile/units,custom_column_num_units,,int,Should match number of units and metadata rows.,2,,True,found,demo_data\SeqBias_AstroBlock_NPX\AstroDREADD25_20240702\spikeTimes_schema_SeqBias_AstroBlock_NPX_examp_AstroDREADD25_20240702.json
metadata_field,session_dir,spikeTimes_schema.json,Y_size,integer count,optional,if_datatype_present:spikeTimes,NWBFile/units,custom_field,,int,If used in schema.,2,,True,found,demo_data\SeqBias_AstroBlock_NPX\AstroDREADD25_20240702\spikeTimes_schema_SeqBias_AstroBlock_NPX_examp_AstroDREADD25_20240702.json
metadata_field,session_dir,spikeTimes_schema.json,X_idx,per-dimension indices,optional,if_datatype_present:spikeTimes,NWBFile/units,custom_field,,array,Omitted for spikeTimes per SurLab (times in arrays).,2,,True,found,demo_data\SeqBias_AstroBlock_NPX\AstroDREADD25_20240702\spikeTimes_schema_SeqBias_AstroBlock_NPX_examp_AstroDREADD25_20240702.json
metadata_field,session_dir,spikeTimes_schema.json,Y_idx,per-dimension indices,optional,if_datatype_present:spikeTimes,NWBFile/units,custom_field,,array,If present.,2,,True,found,demo_data\SeqBias_AstroBlock_NPX\AstroDREADD25_20240702\spikeTimes_schema_SeqBias_AstroBlock_NPX_examp_AstroDREADD25_20240702.json
metadata_field,session_dir,spikeTimes_schema.json,sample_frequency__Hz,float Hz,recommended,if_datatype_present:spikeTimes,NWBFile/units,custom_column_sampling_rate__Hz,,float,Supports alignment with raw ecephys; not same as spike time axis.,2,,True,found,demo_data\SeqBias_AstroBlock_NPX\AstroDREADD25_20240702\spikeTimes_schema_SeqBias_AstroBlock_NPX_examp_AstroDREADD25_20240702.json
metadata_field,session_dir,spikeTimes_schema.json,probe,plain text,required,if_datatype_present:spikeTimes,NWBFile/devices,Device.name,,str,Probe identity is Device.name; link Units to device when geometry added later.,2,,True,found,demo_data\SeqBias_AstroBlock_NPX\AstroDREADD25_20240702\spikeTimes_schema_SeqBias_AstroBlock_NPX_examp_AstroDREADD25_20240702.json
metadata_field,session_dir,spikeTimes_schema.json,acquisition_software,plain text,recommended,if_datatype_present:spikeTimes,NWBFile/devices,Device.description,,str,Acquisition software (often spikeGLX) stored in Device.description.,2,,True,found,demo_data\SeqBias_AstroBlock_NPX\AstroDREADD25_20240702\spikeTimes_schema_SeqBias_AstroBlock_NPX_examp_AstroDREADD25_20240702.json
metadata_field,session_dir,spikeTimes_schema.json,sorting_software,plain text,recommended,if_datatype_present:spikeTimes,NWBFile/processing,processing_module_description,,str,Kilosort precedent: name sorting module and software in processing description or module.,2,,True,found,demo_data\SeqBias_AstroBlock_NPX\AstroDREADD25_20240702\spikeTimes_schema_SeqBias_AstroBlock_NPX_examp_AstroDREADD25_20240702.json
metadata_field,session_dir,spikeTimes_schema.json,filter_type,plain text,recommended,if_datatype_present:spikeTimes,NWBFile/processing,custom_field,,str,No single core filter object; use notes or ecephys extension if used.,2,,True,found,demo_data\SeqBias_AstroBlock_NPX\AstroDREADD25_20240702\spikeTimes_schema_SeqBias_AstroBlock_NPX_examp_AstroDREADD25_20240702.json
metadata_field,session_dir,spikeTimes_schema.json,filter_cutoff_low__Hz,float Hz,recommended,if_datatype_present:spikeTimes,NWBFile/processing,custom_field,,float,Pair with high cutoff.,2,,True,found,demo_data\SeqBias_AstroBlock_NPX\AstroDREADD25_20240702\spikeTimes_schema_SeqBias_AstroBlock_NPX_examp_AstroDREADD25_20240702.json
metadata_field,session_dir,spikeTimes_schema.json,filter_cutoff_high__Hz,float Hz,recommended,if_datatype_present:spikeTimes,NWBFile/processing,custom_field,,float,Pair with low cutoff.,2,,True,found,demo_data\SeqBias_AstroBlock_NPX\AstroDREADD25_20240702\spikeTimes_schema_SeqBias_AstroBlock_NPX_examp_AstroDREADD25_20240702.json
metadata_field,session_dir,spikeTimes_schema.json,quality_metric,plain text,optional,if_datatype_present:spikeTimes,NWBFile/units,custom_column_quality_metric_description,,str,Documents meaning of per-unit quality column.,2,,True,found,demo_data\SeqBias_AstroBlock_NPX\AstroDREADD25_20240702\spikeTimes_schema_SeqBias_AstroBlock_NPX_examp_AstroDREADD25_20240702.json
metadata_field,session_dir,spikeTimes_metadata.csv,unit_ID,integer or text id per unit,required,if_datatype_present:spikeTimes,NWBFile/units,id,,int_or_str,Units table id column; align rows to spike array order.,2,,True,found,demo_data\SeqBias_AstroBlock_NPX\AstroDREADD25_20240702\spikeTimes_metadata_SeqBias_AstroBlock_NPX_examp_AstroDREADD25_20240702.csv
metadata_field,session_dir,spikeTimes_metadata.csv,depth__um,float micrometers,recommended,if_datatype_present:spikeTimes,NWBFile/units,custom_column_depth__um,,float,Allen/Kilosort-style depth on Units table.,2,,True,found,demo_data\SeqBias_AstroBlock_NPX\AstroDREADD25_20240702\spikeTimes_metadata_SeqBias_AstroBlock_NPX_examp_AstroDREADD25_20240702.csv
metadata_field,session_dir,spikeTimes_metadata.csv,area,plain text,recommended,if_datatype_present:spikeTimes,NWBFile/units,custom_column_brain_area,,str,Per-unit region label.,2,,True,found,demo_data\SeqBias_AstroBlock_NPX\AstroDREADD25_20240702\spikeTimes_metadata_SeqBias_AstroBlock_NPX_examp_AstroDREADD25_20240702.csv
metadata_field,session_dir,spikeTimes_metadata.csv,spike_sorting_ID,identifier in sorter output,recommended,if_datatype_present:spikeTimes,NWBFile/units,custom_column_spike_sorting_ID,,str,Kilosort cluster id precedent.,2,,True,found,demo_data\SeqBias_AstroBlock_NPX\AstroDREADD25_20240702\spikeTimes_metadata_SeqBias_AstroBlock_NPX_examp_AstroDREADD25_20240702.csv
metadata_field,session_dir,spikeTimes_metadata.csv,quality,metric value format per schema,optional,if_datatype_present:spikeTimes,NWBFile/units,custom_column_quality,,variable,Interpretation from quality_metric in schema.,2,,True,found,demo_data\SeqBias_AstroBlock_NPX\AstroDREADD25_20240702\spikeTimes_metadata_SeqBias_AstroBlock_NPX_examp_AstroDREADD25_20240702.csv
metadata_field,session_dir,spikeTimes_metadata.csv,grid_location,row col pair,optional,if_datatype_present:spikeTimes,NWBFile/units,custom_column_grid_location,,str,For grid probes; optional.,2,,True,found,demo_data\SeqBias_AstroBlock_NPX\AstroDREADD25_20240702\spikeTimes_metadata_SeqBias_AstroBlock_NPX_examp_AstroDREADD25_20240702.csv
metadata_field,session_dir,spikeTimes_metadata.csv,dataset_specific,N/A,optional,if_datatype_present:spikeTimes,NWBFile/units,custom_columns,,str,Same rule as sessionInfo: preserve names on Units DynamicTable.,2,One generic row for unlisted metadata columns.,True,found,demo_data\SeqBias_AstroBlock_NPX\AstroDREADD25_20240702\spikeTimes_metadata_SeqBias_AstroBlock_NPX_examp_AstroDREADD25_20240702.csv
metadata_field,session_dir,(no file),timestamps for spikeTimes,N/A,na,if_datatype_present:spikeTimes,NWBFile,N/A,,N/A,SurLab explicitly does not use a separate timestamps file for spikeTimes; times live in data arrays.,2,Do not require spikeTimes_timestamps; if file appears treat as dataset_specific or legacy.,False,informational,
metadata_field,session_dir,trialInfo.csv,start_time__s,trial start seconds relative to the session origin (t=0),required,if_datatype_present:trialInfo,NWBFile/intervals/trials,start_time,,float64,SPECULATIVE: NWB Trials table or TimeIntervals start.,5,One trialInfo file per session. Optional middle filename tokens allowed.,True,found,demo_data\SeqBias_AstroBlock_NPX\AstroDREADD25_20240702\trialInfo_SeqBias_AstroBlock_NPX_examp_AstroDREADD25_20240702.csv
metadata_field,session_dir,trialInfo.csv,stop_time__s,trial stop seconds relative to the session origin (t=0),required,if_datatype_present:trialInfo,NWBFile/intervals/trials,stop_time,,float64,SPECULATIVE: Trials stop time.,5,,True,found,demo_data\SeqBias_AstroBlock_NPX\AstroDREADD25_20240702\trialInfo_SeqBias_AstroBlock_NPX_examp_AstroDREADD25_20240702.csv
metadata_field,session_dir,trialInfo.csv,stimulus_onset__s,stimulus onset seconds,optional,if_datatype_present:trialInfo,NWBFile/intervals/trials,custom_column_stimulus_onset__s,,float64,Visual/auditory onset relative to the session origin (t=0).,5,,True,found,demo_data\SeqBias_AstroBlock_NPX\AstroDREADD25_20240702\trialInfo_SeqBias_AstroBlock_NPX_examp_AstroDREADD25_20240702.csv
metadata_field,session_dir,trialInfo.csv,stimulus_offset__s,stimulus offset seconds,optional,if_datatype_present:trialInfo,NWBFile/intervals/trials,custom_column_stimulus_offset__s,,float64,Stimulus offset.,5,,True,found,demo_data\SeqBias_AstroBlock_NPX\AstroDREADD25_20240702\trialInfo_SeqBias_AstroBlock_NPX_examp_AstroDREADD25_20240702.csv
metadata_field,session_dir,trialInfo.csv,tone_frequency__Hz,auditory tone frequency numeric Hz,optional,if_datatype_present:trialInfo,NWBFile/intervals/trials,custom_column_tone_frequency__Hz,,float64,Numeric cells only not strings like 4kHz.,5,,True,found,demo_data\SeqBias_AstroBlock_NPX\AstroDREADD25_20240702\trialInfo_SeqBias_AstroBlock_NPX_examp_AstroDREADD25_20240702.csv
metadata_field,session_dir,trialInfo.csv,tone_intensity__dB,auditory level numeric dB,optional,if_datatype_present:trialInfo,NWBFile/intervals/trials,custom_column_tone_intensity__dB,,float64,Numeric cells only.,5,,True,found,demo_data\SeqBias_AstroBlock_NPX\AstroDREADD25_20240702\trialInfo_SeqBias_AstroBlock_NPX_examp_AstroDREADD25_20240702.csv
metadata_field,session_dir,trialInfo.csv,grating_orientation__degrees,visual grating orientation degrees,optional,if_datatype_present:trialInfo,NWBFile/intervals/trials,custom_column_grating_orientation__degrees,,float64,Visual stimulus parameter.,5,,True,found,demo_data\SeqBias_AstroBlock_NPX\AstroDREADD25_20240702\trialInfo_SeqBias_AstroBlock_NPX_examp_AstroDREADD25_20240702.csv
metadata_field,session_dir,trialInfo.csv,grating_spatial_frequency__cycles_per_degree,spatial frequency,optional,if_datatype_present:trialInfo,NWBFile/intervals/trials,custom_column_grating_spatial_frequency__cycles_per_degree,,float64,Document convention in dataset README if nonstandard.,5,,True,found,demo_data\SeqBias_AstroBlock_NPX\AstroDREADD25_20240702\trialInfo_SeqBias_AstroBlock_NPX_examp_AstroDREADD25_20240702.csv
metadata_field,session_dir,trialInfo.csv,grating_drift_speed__m_per_s,drift speed m/s,optional,if_datatype_present:trialInfo,NWBFile/intervals/trials,custom_column_grating_drift_speed__m_per_s,,float64,Drifting grating.,5,,True,found,demo_data\SeqBias_AstroBlock_NPX\AstroDREADD25_20240702\trialInfo_SeqBias_AstroBlock_NPX_examp_AstroDREADD25_20240702.csv
metadata_field,session_dir,trialInfo.csv,grating_drift_direction__degrees,drift direction degrees,optional,if_datatype_present:trialInfo,NWBFile/intervals/trials,custom_column_grating_drift_direction__degrees,,float64,Drifting grating direction.,5,,True,found,demo_data\SeqBias_AstroBlock_NPX\AstroDREADD25_20240702\trialInfo_SeqBias_AstroBlock_NPX_examp_AstroDREADD25_20240702.csv
metadata_field,session_dir,trialInfo.csv,reaction_time__s,reaction time seconds from stimulus_onset__s,optional,if_datatype_present:trialInfo,NWBFile/intervals/trials,custom_column_reaction_time__s,,float64,Behavioral reaction time.,5,,True,found,demo_data\SeqBias_AstroBlock_NPX\AstroDREADD25_20240702\trialInfo_SeqBias_AstroBlock_NPX_examp_AstroDREADD25_20240702.csv
metadata_field,session_dir,trialInfo.csv,output,categorical behavioral label,optional,if_datatype_present:trialInfo,NWBFile/intervals/trials,custom_column_output,,str,e.g. press no_press.,5,,True,found,demo_data\SeqBias_AstroBlock_NPX\AstroDREADD25_20240702\trialInfo_SeqBias_AstroBlock_NPX_examp_AstroDREADD25_20240702.csv
metadata_field,session_dir,trialInfo.csv,num_licks,integer lick count per trial,optional,if_datatype_present:trialInfo,NWBFile/intervals/trials,custom_column_num_licks,,int,Count of licks in trial.,5,,True,found,demo_data\SeqBias_AstroBlock_NPX\AstroDREADD25_20240702\trialInfo_SeqBias_AstroBlock_NPX_examp_AstroDREADD25_20240702.csv
metadata_field,session_dir,trialInfo.csv,reward,boolean reward delivered 0/1,optional,if_datatype_present:trialInfo,NWBFile/intervals/trials,custom_column_reward,,bool,Reinforcement.,5,,True,found,demo_data\SeqBias_AstroBlock_NPX\AstroDREADD25_20240702\trialInfo_SeqBias_AstroBlock_NPX_examp_AstroDREADD25_20240702.csv
metadata_field,session_dir,trialInfo.csv,punish,boolean punishment delivered 0/1,optional,if_datatype_present:trialInfo,NWBFile/intervals/trials,custom_column_punish,,bool,Reinforcement.,5,,True,found,demo_data\SeqBias_AstroBlock_NPX\AstroDREADD25_20240702\trialInfo_SeqBias_AstroBlock_NPX_examp_AstroDREADD25_20240702.csv
metadata_field,session_dir,trialInfo.csv,correct,binary trial outcome 0/1,optional,if_datatype_present:trialInfo,NWBFile/intervals/trials,custom_column_correct,,int,Omit when no operant outcome (e.g. passive grating viewing).,5,Binary 0/1 when present; non-binary legacy is validation violation.,True,found,demo_data\SeqBias_AstroBlock_NPX\AstroDREADD25_20240702\trialInfo_SeqBias_AstroBlock_NPX_examp_AstroDREADD25_20240702.csv
metadata_field,session_dir,trialInfo.csv,dataset_specific,N/A,optional,if_datatype_present:trialInfo,NWBFile/intervals/trials,custom_columns,,str,Preserve unlisted trial columns; duplicate event columns use _1 _2 suffix pattern.,5,One generic row.,True,found,demo_data\SeqBias_AstroBlock_NPX\AstroDREADD25_20240702\trialInfo_SeqBias_AstroBlock_NPX_examp_AstroDREADD25_20240702.csv
